respondent_id,age,gender,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
R001,18-25,Male,Tertiary,5,3,4,4,1,2,4,3,3,5,1,2,4,2,3,5,5,2
R002,26-35,Female,Tertiary,2,1,4,3,4,4,2,4,1,2,3,3,5,3,4,4,2,3
R003,18-25,Female,Tertiary,4,4,3,1,2,2,3,2,4,1,2,4,3,4,3,5,3,1
R004,26-35,Female,Postgraduate,5,4,4,5,3,5,2,2,4,1,4,3,3,3,1,2,1,3
R005,18-25,Male,Secondary,5,3,2,5,1,2,4,5,2,3,5,3,2,3,4,4,5,2
R006,36-45,Male,Tertiary,4,3,2,2,5,5,5,1,1,4,1,4,1,2,5,4,3,4
R007,26-35,Female,Postgraduate,1,4,2,1,3,2,4,1,1,4,3,5,5,5,4,1,3,2
R008,18-25,Female,Tertiary,1,5,2,5,2,3,2,2,5,1,3,4,4,3,3,2,5,4
R009,36-45,Female,Secondary,5,5,1,4,1,4,4,5,5,5,4,2,3,2,2,3,4,4
R010,36-45,Male,Tertiary,3,4,4,1,2,4,3,1,3,3,2,4,2,2,2,3,2,2
R011,36-45,Female,Tertiary,1,1,2,4,3,5,1,3,5,1,5,1,4,2,5,1,2,4
R012,36-45,Male,Tertiary,3,1,1,5,4,2,2,1,4,1,2,3,4,1,4,1,5,5
R013,18-25,Male,Tertiary,3,4,3,3,5,1,3,3,5,5,4,4,5,5,3,2,5,3
R014,18-25,Male,Tertiary,2,1,2,3,2,5,1,4,4,4,5,1,1,4,4,4,1,4
R015,18-25,Female,Tertiary,1,4,5,5,4,3,1,1,3,1,3,4,1,3,1,3,1,5
R016,36-45,Male,Postgraduate,3,5,3,5,1,3,4,1,3,4,3,4,5,3,2,5,1,1
R017,18-25,Male,Postgraduate,5,1,1,3,5,4,4,1,3,1,2,4,5,4,5,3,4,2
R018,36-45,Female,Postgraduate,5,1,1,4,5,1,5,5,2,2,5,1,1,5,1,3,4,3
R019,18-25,Female,Tertiary,3,1,4,1,5,2,3,2,2,5,3,4,1,4,5,1,1,2
R020,26-35,Male,Tertiary,2,2,4,2,1,4,2,1,2,1,5,3,5,4,5,4,2,4
R021,26-35,Female,Tertiary,2,3,4,4,1,5,3,2,3,4,5,3,1,5,3,3,5,3
R022,46-55,Female,Secondary,1,3,4,4,4,5,4,4,1,4,5,2,3,5,2,1,2,5
R023,26-35,Male,Tertiary,4,2,3,2,2,5,1,3,3,2,3,3,1,3,1,4,4,5
R024,26-35,Male,Secondary,5,1,1,4,3,4,2,4,5,1,5,4,2,3,2,4,4,5
R025,18-25,Male,Tertiary,2,4,1,3,1,1,4,3,1,4,2,3,2,2,2,1,3,2
R026,26-35,Female,Tertiary,3,1,3,3,5,2,4,1,4,1,4,5,2,1,1,2,5,2
R027,18-25,Male,Secondary,1,1,3,4,1,4,5,5,2,4,5,2,5,3,2,5,2,5
R028,55+,Male,Secondary,4,5,5,5,4,5,4,3,4,1,2,3,1,3,2,1,1,4
R029,26-35,Female,Secondary,5,2,1,5,2,4,1,4,2,4,5,2,2,1,2,3,2,3
R030,46-55,Male,Postgraduate,4,1,5,3,4,4,3,4,1,5,3,3,1,3,1,5,3,4
R031,18-25,Male,Secondary,5,5,1,1,1,1,3,1,2,4,2,4,1,4,1,5,5,1
R032,36-45,Male,Postgraduate,2,1,2,1,3,5,2,1,1,3,1,5,1,1,4,5,4,4
R033,26-35,Female,Secondary,1,2,4,5,3,2,5,4,2,3,2,3,4,1,3,3,5,3
